date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2021-01-12,26.34,26.42,25.51,26.18,26887200,6.0,419754.0,-1.6773788099831453,0.009641342074816706,0.009595160931180846
2021-01-13,25.71,27.43,25.13,25.5,51216600,11.0,435976.0,-1.850372660212324,-0.025974025974025983,-0.026317308317373556
2021-01-14,25.45,25.62,24.37,24.92,32908000,23.0,414642.0,-1.7666125890210678,-0.02274509803921565,-0.023007758245127796
2021-01-15,26.26,28.0,25.46,25.64,92285500,20.0,387398.0,-1.6964360305452908,0.028892455858748,0.028482938133216784
2021-01-19,26.81,27.54,26.0,26.62,48675800,12.0,405338.0,-1.570654697826766,0.038221528861154486,0.03750918091449629
2021-01-20,27.29,27.3,25.7,26.34,37459000,15.0,429055.0,-1.3123119171830069,-0.010518407212622094,-0.0105741166518305
2021-01-21,26.42,26.68,25.3,25.98,29891400,13.0,377421.0,-1.2907810751258773,-0.013667425968109326,-0.013761685072681829
2021-01-22,25.85,32.65,25.82,32.58,156844700,2.0,371149.0,-1.5418288833908045,0.25404157043879905,0.22637159193144596
2021-01-25,34.46,39.58,29.56,36.23,191345300,9.0,353122.0,-1.586616573403811,0.1120319214241865,0.10618890173308637
2021-01-26,35.14,36.87,34.32,35.37,65870000,47.0,398663.0,-1.5814562619123145,-0.023737234336185464,-0.024023501689596216
2021-01-27,32.97,45.0,32.25,39.0,170758800,10.0,410106.0,-1.554172672085521,0.10262934690415615,0.09769764291225691
2021-01-28,39.54,42.0,33.1,35.66,85250700,12.0,386997.0,-1.517572665771188,-0.08564102564102571,-0.08953203369465212
2021-01-29,36.61,38.01,34.66,35.18,42030900,4.0,355489.0,-1.4606085478191158,-0.013460459899046429,-0.013551873125582148
2021-02-01,35.33,35.62,32.58,33.96,43460900,4.0,398813.0,-1.3292391024634282,-0.03467879476975555,-0.035294377866265325
2021-02-02,34.1,34.2,30.5,31.02,69647900,11.0,414194.0,-1.4959074462670148,-0.08657243816254423,-0.090551203694754
2021-02-03,32.39,32.95,31.38,31.76,35312000,7.0,425322.0,-1.3851729102369232,0.023855577047066534,0.023575478630542435
2021-02-04,32.58,33.18,31.05,32.05,31565000,5.0,393696.0,-1.5528302508763947,0.009130982367758111,0.00908954698774389
2021-02-05,32.61,35.2,31.75,34.05,62375300,18.0,388337.0,-1.5029833189681596,0.06240249609984394,0.06053284922884217
2021-02-08,37.22,39.22,35.89,36.05,72376000,38.0,354180.0,-1.5253505645535248,0.058737151248164476,0.05707683113543682
2021-02-09,36.9,38.255,36.13,38.17,44243200,30.0,357107.0,-1.5914721803626095,0.05880721220527052,0.05714300302618058
